Afganistán | afgano | afgana | afganos | afganas
España | español | española | españoles | españolas | catalán | catalana | catalanes | catalanas | vasco | vasca | vascos | vascas
Estados Unidos | estadounidense | estadounidense | estadounidenses | estadounidenses
Estonia | estonio | estonia | estonios | estonias
Etiopía | etíope | etíope | etíopes | etíopes
Filipinas | filipino | filipina | filipinos | filipinas
Finlandia | finlandés | finlandesa | finlandeses | finlandesas
Fiyi | fiyiano | fiyiana | fiyianos | fiyianas
Francia | francés | francesa | franceses | francesas
Gabón | gabonés | gabonesa | gaboneses | gabonesas
Gambia | gambiano | gambiana | gambianos | gambianas
Georgia | georgiano | georgiana | georgianos | georgianas
Ghana | ghanés | ghanesa | ghaneses | ghanesas
Granada | granadino | granadina | granadinos | granadinas
Grecia | griego | griega | griegos | griegas
Guatemala | guatemalteco | guatemalteca | guatemaltecos | guatemaltecas
Guinea | guineano | guineana | guineanos | guineanas
Guinea-Bisáu | bisauguineano | bisauguineana | bisauguineanos | bisauguineanas
Guinea Ecuatorial | ecuatoguineano | ecuatoguineana | ecuatoguineanos | ecuatoguineanas
Guyana | guyanés | guyanesa | guyaneses | guyanesas
Haití | haitiano | haitiana | haitianos | haitianas
Honduras | hondureño | hondureña | hondureños | hondureñas
Hungría | húngaro | húngara | húngaros | húngaras
India | indio | india | indios | indias
Indonesia | indonesio | indonesia | indonesios | indonesias
Irak | iraquí | iraquí | iraquíes | iraquíes
Irán | iraní | iraní | iraníes | iraníes
Irlanda | irlandés | irlandesa | irlandeses | irlandesas
Islandia | islandés | islandesa | islandeses | islandesas
Israel | israelí | israelí | israelíes | israelíes
Italia | italiano | italiana | italianos | italianas
Jamaica | jamaicano | jamaicana | jamaicanos | jamaicanas | jamaiquino | jamaiquina | jamaiquinos | jamaiquinas
Japón | japonés | japonesa | japoneses | japonesas
Jordania | jordano | jordana | jordanos | jordanas
Kenia | keniano | keniana | kenianos | kenianas
Kirguistán | kirguís | kirguisa | kirguises | kirguisas
Kiribati | kiribatiano | kiribatiana | kiribatianos | kiribatianas
Kuwait | kuwaití | kuwaití | kuwaitíes | kuwaitíes
Laos | laosiano | laosiana | laosianos | laosianas
Lesoto | lesotense | lesotense | lesotenses | lesotenses
Letonia | letón | letona | letones | letonas
Líbano | libanés | libanesa | libaneses | libanesas
Liberia | liberiano | liberiana | liberianos | liberianas
Libia | libio | libia | libios | libias
Liechtenstein | liechtensteiniano | liechtensteiniana | liechtensteinianos | liechtensteinianas
Lituania | lituano | lituana | lituanos | lituanas
Luxemburgo | luxemburgués | luxemburguesa | luxemburgueses | luxemburguesas
Madagascar | malgache | malgaches
Malasia | malasio | malasia | malasios | malayas
Malaui | malauí | malauí | malauíes | malauíes
Maldivas | maldivo | maldiva | maldivos | maldivas
Malí | maliense | maliense | malienses | malienses
Malta | maltés | maltesa | malteses | maltesas
Marruecos | marroquí | marroquí | marroquíes | marroquíes
Mauricio | mauriciano | mauriciana | mauricianos | mauricianas
Mauritania | mauritano | mauritana | mauritanos | mauritanas
México | mexicano | mexicana | mexicanos | mexicanas
Micronesia | micronesio | micronesia | micronesios | micronesias
Moldavia | moldavo | moldava | moldavos | moldavas
Mónaco | monegasco | monegasca | monegascos | monegascas
Mongolia | mongol | mongola | mongoles | mongolas
Montenegro | montenegrino | montenegrina | montenegrinos | montenegrinas
Mozambique | mozambiqueño | mozambiqueña | mozambiqueños | mozambiqueñas
Namibia | namibio | namibia | namibios | namibias
Nauru | nauruano | nauruana | nauruanos | nauruanas
Nepal | nepalí | nepalí | nepalíes | nepalíes
Nicaragua | nicaragüense | nicaragüense | nicaragüenses | nicaragüenses
Níger | nigerino | nigerina | nigerinos | nigerinas
Nigeria | nigeriano | nigeriana | nigerianos | nigerianas
Noruega | noruego | noruega | noruegos | noruegas
Nueva Zelanda | neozelandés | neozelandesa | neozelandeses | neozelandesas
Omán | omaní | omaní | omaníes | omaníes
Países Bajos | neerlandés | neerlandesa | neerlandeses | neerlandesas | Holanda |holandés | holandesa | holandeses | holandesas
Pakistán | pakistaní | pakistaní | pakistaníes | pakistaníes
Palaos | palauano | palauana | palauanos | palauanas
Palestina | palestino | palestina | palestinos | palestinas
Panamá | panameño | panameña | panameños | panameñas
Papúa Nueva Guinea | papú | papú | papúes | papúes
Paraguay | paraguayo | paraguaya | paraguayos | paraguayas
Perú | peruano | peruana | peruanos | peruanas
Polonia | polaco | polaca | polacos | polacas
Portugal | portugués | portuguesa | portugueses | portuguesas
Puerto Rico | puertorriqueño | puertorriqueña | puertorriqueños | puertorriqueñas
Qatar | catarí | catarí | cataríes | cataríes
Reino Unido | británico | británica | británicos | británicas | Inglaterra | inglés | inglesa | ingleses | inglesas | Escocia | escocés | escocesa | escoseses | escosesas | Gales | galés | galesa | galeses | galesas | Irlanda del Norte | norirlandés | norirlandesa | norirlandeses | norirlandesas
República Centroafricana | centroafricano | centroafricana | centroafricanos | centroafricanas
República Checa | checo | checa | checos | checas
República Dominicana | dominicano | dominicana | dominicanos | dominicanas
Ruanda | ruandés | ruandesa | ruandeses | ruandesas
Rumania | rumano | rumana | rumanos | rumanas
Rusia | ruso | rusa | rusos | rusas | Unión Soviética | soviético | soviética | soviéticos | soviéticas
Samoa | samoano | samoana | samoanos | samoanas
San Cristóbal y Nieves | sancristobaleño | sancristobaleña | sancristobaleños | sancristobaleñas
San Marino | sanmarinense | sanmarinense | sanmarinenses | sanmarinenses
San Vicente y las Granadinas | sanvicentino | sanvicentina | sanvicentinos | sanvicentinas
Santa Lucía | santalucense | santalucense | santalucenses | santalucenses
Santo Tomé y Príncipe | santotomense | santotomense | santotomenses | santotomenses
Senegal | senegalés | senegalesa | senegaleses | senegalesas
Serbia | serbio | serbia | serbios | serbias
Seychelles | seychellense | seychellense | seychellenses | seychellenses
Sierra Leona | sierraleonés | sierraleonesa | sierraleoneses | sierraleonesas
Singapur | singapurense | singapurense | singapurenses | singapurenses
Siria | sirio | siria | sirios | sirias
Somalia | somalí | somalí | somalíes | somalíes
Sri Lanka | ceilandés | ceilandesa | ceilandeses | ceilandesas
Sudáfrica | sudafricano | sudafricana | sudafricanos | sudafricanas
Sudán | sudanés | sudanesa | sudaneses | sudanesas
Sudán del Sur | sursudanés | sursudanesa | sursudaneses | sursudanesas
Suecia | sueco | sueca | suecos | suecas
Suiza | suizo | suiza | suizos | suizas
Tailandia | tailandés | tailandesa | tailandeses | tailandesas
Taiwán | taiwanés | taiwanesa | taiwaneses | taiwanesas
Tanzania | tanzano | tanzana | tanzanos | tanzanas
Tayikistán | tayiko | tayika | tayikos | tayikas
Timor Oriental | timorense | timorense | timorenses | timorenses
Togo | togolés | togolesa | togoleses | togolesas
Tonga | tongano | tongana | tonganos | tonganas
Trinidad y Tobago | trinitense | trinitense | trinitenses | trinitenses
Túnez | tunecino | tunecina | tunecinos | tunecinas
Turkmenistán | turcomano | turcomana | turcomanos | turcomanas
Turquía | turco | turca | turcos | turcas | Imperio Otomano | otomanos | otomanas | otomano | otomana
Tuvalu | tuvaluano | tuvaluana | tuvaluanos | tuvaluanas
Ucrania | ucraniano | ucraniana | ucranianos | ucranianas
Uganda | ugandés | ugandesa | ugandeses | ugandesas
Uruguay | uruguayo | uruguaya | uruguayos | uruguayas
Uzbekistán | uzbeko | uzbeka | uzbekos | uzbekas
Vanuatu | vanuatense | vanuatense | vanuatenses | vanuatenses
Vaticano | vaticano | vaticana | vaticanos | vaticanas
Venezuela | venezolano | venezolana | venezolanos | venezolanas
Vietnam | vietnamita | vietnamita | vietnamitas | vietnamitas
Yemen | yemení | yemení | yemeníes | yemeníes
Yibuti | yibutiano | yibutiana | yibutianos | yibutianas
Zambia | zambiano | zambiana | zambianos | zambianas
Zimbabue | zimbabuense | zimbabuense | zimbabuenses | zimbabuenses
